1	有沒	QUERY
2	有沒有	QUERY
3	太仓市这边有服务站吗	QUERY
4	当地经销商店内是否有现车	QUERY
5	她让我先把车开回来，等配件到了再过去。我哪有时间来回折腾，而且油费不要钱吗	QUERY
6	为啥我的积分为0	QUERY
7	我的回家前保养的3874公里，回家后仪表盘一直提醒要保养，5700公里。是咋了？	QUERY
8	这个WIFI连上去安全吗	QUERY
9	老款智联三能加装esp吗？	QUERY
10	空调内循环、外循环、自动内循环有何区别？	QUERY
11	鞋子是怎么卖的	QUERY
12	凯翼v3多少公里换一次机油？	QUERY
13	协商不下结果怎么办呢	QUERY
14	好的。如果想预定餐食，是需要在值机、选座之前做，是吗	QUERY
15	我想知道你们公司的地址	QUERY
16	想问一下是多少钱	QUERY
17	你好，c3保养灯怎么消除	QUERY
18	配件价格的制定?	QUERY
19	为什么车买了这么长时间都没有给我呢	QUERY
20	那你的意思是，你只登记反馈，至于反馈是什么你都不知道，那你还做什么咨询？	QUERY
21	公司年会在什么地方举办	QUERY
22	就是说经销商可以想什么时候给我都要接受么	QUERY
23	你们送的手机什么时候送？	QUERY
24	您好，我想问一下有什么东西是不能托运的	QUERY
25	阳朔七仙峰茶场参观门票多少钱？	QUERY
26	你们公司项目进展好不好	QUERY
27	退票人的证件号是吗？	QUERY
28	你好我的车十免费保养第三次清洗发动机免着吗？	QUERY
29	怎么到现在什么情况都没有	QUERY
30	推荐购车还奖钱吗	QUERY
31	请问可以帮我查看下我的票为何不能提前选座嘛	QUERY
32	你好我想问帕萨特330TSI尊荣版	QUERY
33	深圳罗湖有婴儿票的销售点是吗	QUERY
34	后保险杆有划痕，要重新做漆要多少钱，能走保险吗？	QUERY
35	我问的是有没倒车影像	QUERY
36	桂林阳朔大榕树在哪里？	QUERY
37	检测一般需要多久	QUERY
38	只能在你们官网买,是吧	QUERY
39	帮我查询下订单号	QUERY
40	我要开州，这边有没有销售网点啊	QUERY
41	有无你们的授权	QUERY
42	上面那个是不是代码，麻烦你查一下，谢谢	QUERY
43	我把目的地信息填错了，能不能改呢	QUERY
44	我想知道在线客服是什么	QUERY
45	近光灯怎么调左右	QUERY
46	你们公司项目进展好否	QUERY
47	我明天直接到你们店里贴膜可以吧?	QUERY
48	老年人乘机有优惠吗	QUERY
49	4s店有车么	QUERY
50	我想问一下我的航班是不是从俄罗斯到北京再到长沙	QUERY
51	我想通过你们加装双段和17轮毂	QUERY
52	后视镜加热，点烟器，17款没有了对吧	QUERY
53	轮子大小外观什么都一样吗？	QUERY
54	请问一下怎么改签	QUERY
55	这种问题可以处理吗	QUERY
56	看到我上面发的了吗	QUERY
57	买任何时间飞北京的票都可以吗？	QUERY
58	车牌能不能查	QUERY
59	优惠经济仓和标准经济舱有什么区别	QUERY
60	导航的播报是否会和收音机播放的音乐重叠	QUERY
61	这有那么麻烦吗！	QUERY
62	咋样办理登机手续	QUERY
63	你还没答复我，到底能不能投诉	QUERY
64	是不是自动开启大灯的那个开关	QUERY
65	可是地址什么的我都发给他了咋办	QUERY
66	你们送的保养是什么机油都不知道吗	QUERY
67	怎样可以领到1000元油卡？	QUERY
68	上汽通用是否不允许特约经销商跨区域销售车辆	QUERY
69	车辆现在是否有其他异常情况	QUERY
70	选座不是提前24小时吗	QUERY
71	管制刀具包括哪些?	QUERY
72	我是否可以给你订单号，你自己查这些信息	QUERY
73	车辆熄火了，为何娱乐系统还在工作？车辆是否断电了	QUERY
74	我问问订票号咋查询？	QUERY
75	是，但是现在账号禁了，我要买票怎么办？	QUERY
76	桂林忘忧谷度假酒店住一晚多少钱	QUERY
77	前风挡玻璃外部起雾是什么原因，	QUERY
78	我刚发的图你看到了吗？	QUERY
79	自动档车辆行驶中是否能挂入倒档	QUERY
80	随车文件补办费用多少	QUERY
81	你们公司项目进展得好吗	QUERY
82	海航官方网站办理的值机手续吗	QUERY
83	潍坊有服务站么？	QUERY
84	大众汽车现在咋卖	QUERY
85	手动1.6运动版全新晶锐是不是一般发车比较慢	QUERY
86	您咨询的问题我已经记录下来，我马上咨询清楚，给您回复，好吗	QUERY
87	我去就直接维修，什么费用都不会收,是吧	QUERY
88	现在能补开发票么？	QUERY
89	你好，我是新注册的用户，注册的时候注册姓名的时候多打了一个姓，这样可以吗	QUERY
90	什么是星月服务	QUERY
91	桂林市动物园门票多少钱？	QUERY
92	09款明锐1．6手动带天窗机油泵多少钱	QUERY
93	官网上的机票价格是含税的吗？	QUERY
94	你需要多长时间？	QUERY
95	什么是盗抢险	QUERY
96	方便将名称或者是零件号告知我吗	QUERY
97	首保要本人自己来不	QUERY
98	如果需要4s电话，你们完整不是提供销售网络图吗？	QUERY
99	为什么到现在还没有收到自行车？	QUERY
100	请提供下姓名,用户名,以及手机号码	QUERY
101	桂林南溪山在哪里	QUERY
102	大概这次什么时候能发给我呢？	QUERY
103	会员服务打多少	QUERY
104	什么是车损险	QUERY
105	请问是否订车或准备购车？	QUERY
106	刹车盘、刹车片生锈是否正常	QUERY
107	车辆驶过颠簸路面，后减震器有气压放气的声音是否正常	QUERY
108	我的小孩一岁八个月是买婴儿票吗	QUERY
109	现在可以打吗？	QUERY
110	另外我还想问一下，这订单的发票怎么样领取？	QUERY
111	防冻液能混用吗	QUERY
112	你有照片吗	QUERY
113	您的订单是在官网免注册直接购买的吗	QUERY
114	那我问一下啊，这车智能在哪？	QUERY
115	你早上跟我的同事说了没	QUERY
116	您打工给谁	QUERY
117	两边是指的哪两边	QUERY
118	转向时方向盘打到底为什么会有异响，这样对车辆是否有损伤	QUERY
119	我如何识别经销商给我提的车是新车	QUERY
120	想问一下订票的时候为什么不能一起买保险的？	QUERY
121	车辆在水中熄火及车辆被水淹过可以再起动吗？	QUERY
122	价格是否和网站一致	QUERY
123	有贷款免息么？	QUERY
124	那选米色内饰就有木纹内饰？	QUERY
125	有无你们的授权？	QUERY
126	你好、我的车开了4700公里、可不可以去保养？去的话需要什么手续吗？是不是开个车去就行	QUERY
127	目前行驶多少公里数了	QUERY
128	是在官网订的吗	QUERY
129	麻烦查下航班动态	QUERY
130	也就是说，我如果要退票的话就得支付四百多的手续费么？	QUERY
131	你好！HU7846是从浦东哪个航站出发	QUERY
